seedPlayerId,seedName,seedKey,sourceClub,sourcePosition,birthDate,localBestMatch,localBestTmPlayerId,localBestClub,localBestSimilarity,clubMatch,positionMatch,DOBMatch,runnerUp,runnerUpTmPlayerId,status
"cmtr671cy005f33ynha4c0bfo","Mihailo Jovanovic","UZ1-2026-DINAMOSA-007","Dinamo Samarkand","DF","","Filip Ivanovic","315092","Sogdiana Jizzakh","0.563","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671cn004l33ynp76xme9o","Miraziz Jalolov","UZ1-2026-BUNYODKO-029","Bunyodkor Tashkent","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671gh00cf33yng70ue6xm","Mirjalol Abdurahimov","UZ1-2026-NEFTCHIF-009","Neftchi Fergana","DF","","Sardor Abduraimov","492567","Mash'al Mubarek","0.632","false","false","false","Firdavs Abdurakhmonov","1332994","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671a7000l33yni7v8yxjz","Mirjamol Kosimov","UZ1-2026-AGMK-011","AGMK","MF","","Mirzhamol Kosimov","319512","FC OKMK Olmaliq","0.875","true","true","false","Mirkamol Annamatov","1472839","LOCAL_DUPLICATE"
"cmtr671b0001t33ynf7wkhukg","Mirzakamol Kamalov","UZ1-2026-ANDIJON-006","Andijon","MF","","Mirkamol Annamatov","1472839","Bunyodkor Tashkent","0.647","false","true","false","Mirzhamol Kosimov","319512","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671cf004733ynaz18csaf","Mirzokhid Gofurov","UZ1-2026-BUNYODKO-021","Bunyodkor Tashkent","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671e6008133yn22191eet","Muiddin Mamazulunov","UZ1-2026-MASHALMU-026","Mashal Muborak","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671hz00fb33ynqfhbcevx","Mukhammadaziz Ibrakhimov","UZ1-2026-QIZILQUM-009","Qizilqum Zarafshon","MF","","Mukhammadali Adkhamov","1258542","Bunyodkor Tashkent","0.667","false","false","false","Mukhammadali Musakhonov","1258665","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671kl00mb33yny139prou","Mukhammadzhon Razhabboev","UZ1-2026-XORAZMUR-008","Xorazm Urganch","FW","","Mukhammadali Adkhamov","1258542","Bunyodkor Tashkent","0.591","false","true","false","Mukhammadanas Khasanov","493715","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671e5007z33yn6sxd3yhk","Mukhriddin Shamsiddinov","UZ1-2026-MASHALMU-025","Mashal Muborak","FW","","Mukhridin Pazildinov","763078","FC Kokand 1912","0.714","false","false","false","Nuriddin Nuriddinov","1134139","AMBIGUOUS"
